date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:38	915/915	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:276f266dcdb7b11e10a59fcb3be5fc41%22	https://genixcarbon.com/robots.txt		(from )
10:27:39	4075320/4075320	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:27015927ef1f96664c4609cb386632e7%22	https://genixcarbon.com/	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/index.html	(from )
10:27:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:40%20GMT	http://genixcarbon.com/cdn/shop/files/Shopify-Logo-Icon_b4cd6e9b-49aa-47da-b1c0-9347330d3cde.png?crop=center&height=32&v=1721641680&width=32	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/files/Shopify-Logo-Icon_b4cd6e9b-49aa-47da-b1c0-9347330d3cde.07929.delayed	(from https://genixcarbon.com/)
10:27:40	2231/2231	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Sep%202025%2005:38:10%20GMT	https://genixcarbon.com/cdn/shop/files/Shopify-Logo-Icon_b4cd6e9b-49aa-47da-b1c0-9347330d3cde.png?crop=center&height=32&v=1721641680&width=32	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/files/Shopify-Logo-Icon_b4cd6e9b-49aa-47da-b1c0-9347330d3cde7929.png	(from https://genixcarbon.com/)
10:27:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:41%20GMT	http://genixcarbon.com/cdn/shop/files/Shopify-Social-Sharing-Image.jpg?v=1724088248	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/files/Shopify-Social-Sharing-Image75f0.jpg	(from https://genixcarbon.com/)
10:27:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:41%20GMT	http://genixcarbon.com/cdn/shop/t/1/assets/constants.js?v=58251544750838685771716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/constants4d07.js	(from https://genixcarbon.com/)
10:27:41	34875/34875	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Oct%202025%2014:51:25%20GMT	https://genixcarbon.com/cdn/shop/files/Shopify-Social-Sharing-Image.jpg?v=1724088248	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/files/Shopify-Social-Sharing-Image75f0.jpg	(from https://genixcarbon.com/)
10:27:41	195/195	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202025%2015:48:58%20GMT	https://genixcarbon.com/cdn/shop/t/1/assets/constants.js?v=58251544750838685771716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/constants4d07.js	(from https://genixcarbon.com/)
10:27:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:42%20GMT	http://genixcarbon.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/pubsube5bc.js	(from https://genixcarbon.com/)
10:27:42	476/476	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Oct%202025%2019:52:29%20GMT	https://genixcarbon.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/pubsube5bc.js	(from https://genixcarbon.com/)
10:27:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:42%20GMT	http://genixcarbon.com/cdn/shop/t/1/assets/global.js?v=136628361274817707361716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/global35f8.js	(from https://genixcarbon.com/)
10:27:42	37487/37487	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2003:31:07%20GMT	https://genixcarbon.com/cdn/shop/t/1/assets/global.js?v=136628361274817707361716278940	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/global35f8.js	(from https://genixcarbon.com/)
10:27:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:43%20GMT	http://genixcarbon.com/cdn/shop/t/1/assets/animations.js?v=88693664871331136111716278939	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/animationsf5e6.js	(from https://genixcarbon.com/)
10:27:43	2929/2929	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2011%20Jul%202025%2014:53:57%20GMT	https://genixcarbon.com/cdn/shop/t/1/assets/animations.js?v=88693664871331136111716278939	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shop/t/1/assets/animationsf5e6.js	(from https://genixcarbon.com/)
10:27:43	4543/4543	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Oct%202025%2005:27:43%20GMT	https://genixcarbon.com/checkouts/internal/preloads.js?locale=en-PK	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/checkouts/internal/preloads2b31.js	(from https://genixcarbon.com/)
10:27:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:44%20GMT	http://genixcarbon.com/cdn/shopifycloud/shop-js/client.js	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shopifycloud/shop-js/client.js	(from https://genixcarbon.com/)
10:27:44	877553/877553	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2022%20Oct%202025%2004:42:39%20GMT	https://genixcarbon.com/cdn/shopifycloud/shop-js/client.js	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shopifycloud/shop-js/client.js	(from https://genixcarbon.com/)
10:27:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Oct%202025%2005:27:45%20GMT	http://genixcarbon.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	(from https://genixcarbon.com/)
10:27:46	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2011%20Oct%202025%2008:40:03%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/Users/Saboor/Pictures/ganix/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://genixcarbon.com/)
10:27:46	13334/13334	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2007%20Sep%202025%2007:43:42%20GMT	https://genixcarbon.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	C:/Users/Saboor/Pictures/ganix/genixcarbon.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	(from https://genixcarbon.com/)
